Sales Person,Country,Product,Date,Amount,Boxes Shipped
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723,425
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952,24
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,5691,495
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,10969,170
Brien Boise,India,Smooth Sliky Salty,2022-05-27,5964,26
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821,24
Brien Boise,India,Spicy Special Slims,2022-01-28,1302,33
Van Tuxwell,UK,Eclairs,2022-06-29,5474,109
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179,276
Jehu Rudeforth,UK,After Nines,2022-06-27,1946,164
Barr Faughny,Canada,White Choc,2022-03-29,4291,1
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,7196,160
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939,98
Mallorie Waber,India,Eclairs,2022-04-12,10437,46
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916,259
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,3647,310
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995,78
Gigi Bohling,Australia,Eclairs,2022-04-12,7252,136
Oby Sorrel,India,Drinking Coco,2022-07-21,16380,130
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660,24
Husein Augar,India,Peanut Butter Cubes,2022-05-09,4522,5
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329,109
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458,294
Brien Boise,India,70% Dark Bites,2022-04-14,4641,413
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627,136
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192,175
Dotty Strutley,Canada,After Nines,2022-01-17,252,237
Karlen McCaffrey,USA,Eclairs,2022-08-15,868,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210,16
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007,135
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845,91
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372,614
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428,216
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977,317
Brien Boise,USA,70% Dark Bites,2022-04-14,1694,21
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326,154
Mallorie Waber,Australia,Eclairs,2022-08-22,9527,222
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766,157
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288,27
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879,350
Ches Bonnell,USA,Milk Bars,2022-07-21,2408,157
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094,468
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231,130
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981,130
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7,518
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372,105
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250,293
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560,15
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012,384
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038,135
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099,92
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413,4
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397,239
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303,33
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141,518
Beverie Moffet,India,Eclairs,2022-06-09,10325,147
Andria Kimpton,India,Eclairs,2022-05-16,2149,84
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362,94
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635,194
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443,216
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237,247
Oby Sorrel,USA,Milk Bars,2022-06-14,1736,79
Oby Sorrel,UK,Orange Choco,2022-04-15,7315,237
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935,63
Gigi Bohling,India,White Choc,2022-04-13,1393,172
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381,408
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836,59
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371,229
Kelci Walkden,Canada,After Nines,2022-01-13,16702,198
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258,32
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058,236
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192,67
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140,438
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835,167
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775,135
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749,148
Camilla Castle,Canada,Orange Choco,2022-02-17,7770,54
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502,64
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223,181
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507,114
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600,181
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721,151
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615,137
Barr Faughny,USA,White Choc,2022-05-05,7420,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164,84
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114,140
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404,187
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990,169
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924,12
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091,194
Roddy Speechley,USA,Milk Bars,2022-05-16,2807,252
Jan Morforth,India,After Nines,2022-03-14,6496,168
Gunar Cockshoot,USA,After Nines,2022-08-15,3738,261
Ches Bonnell,India,Orange Choco,2022-02-16,1190,256
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379,43
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268,100
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029,98
Wilone O'Kielt,India,Eclairs,2022-02-25,3549,76
Wilone O'Kielt,India,After Nines,2022-08-04,12026,262
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303,244
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405,12
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763,113
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894,48
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302,131
Curtice Advani,UK,Drinking Coco,2022-07-12,455,174
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183,254
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645,284
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143,67
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873,249
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298,313
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425,167
Oby Sorrel,UK,White Choc,2022-06-27,1715,286
Barr Faughny,India,After Nines,2022-07-29,8190,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991,166
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491,85
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096,142
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063,104
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275,115
Barr Faughny,Canada,Orange Choco,2022-06-30,7602,18
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200,80
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137,88
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388,212
Kaine Padly,Australia,After Nines,2022-04-08,6832,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437,181
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301,65
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869,158
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465,271
Madelene Upcott,USA,Almond Choco,2022-05-31,10143,24
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346,304
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321,88
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345,133
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008,165
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609,150
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332,180
Mallorie Waber,India,White Choc,2022-07-26,819,213
Brien Boise,UK,Drinking Coco,2022-01-27,5754,133
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28,446
Oby Sorrel,USA,Almond Choco,2022-05-19,6440,141
Husein Augar,India,Eclairs,2022-02-09,4956,58
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352,58
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906,76
Beverie Moffet,India,White Choc,2022-07-04,1813,296
Ches Bonnell,India,Almond Choco,2022-04-13,11788,73
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768,119
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401,78
Camilla Castle,USA,Eclairs,2022-06-10,4515,392
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794,51
Van Tuxwell,India,After Nines,2022-06-27,13706,207
Husein Augar,India,Orange Choco,2022-06-30,4361,40
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122,100
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994,57
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268,42
Gigi Bohling,Australia,Orange Choco,2022-03-09,574,156
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792,23
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844,539
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938,158
Brien Boise,Australia,White Choc,2022-08-25,4879,22
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107,73
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187,27
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670,64
Gigi Bohling,USA,Milk Bars,2022-06-16,476,133
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681,149
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533,434
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765,85
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994,118
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318,299
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214,35
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714,44
Brien Boise,New Zealand,Eclairs,2022-07-11,4690,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062,62
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488,200
Curtice Advani,USA,After Nines,2022-04-13,14147,235
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49,363
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199,68
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389,26
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584,200
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481,264
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107,175
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603,352
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483,183
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381,417
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030,146
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559,158
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822,168
Kaine Padly,UK,After Nines,2022-01-21,18697,176
Kaine Padly,Canada,After Nines,2022-08-22,5845,172
Kaine Padly,UK,Drinking Coco,2022-01-27,2317,224
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150,68
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437,46
Karlen McCaffrey,USA,White Choc,2022-08-24,4592,2
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691,417
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158,109
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684,81
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693,350
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546,142
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263,264
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036,20
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846,421
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499,271
Van Tuxwell,UK,Almond Choco,2022-06-06,10689,204
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226,46
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262,15
Barr Faughny,UK,Milk Bars,2022-03-02,3864,430
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900,709
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250,47
Husein Augar,UK,After Nines,2022-07-05,3507,380
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413,465
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155,96
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478,188
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471,202
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666,106
Andria Kimpton,India,Orange Choco,2022-05-30,301,421
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400,27
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139,45
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288,60
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317,464
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63,60
Jan Morforth,UK,Almond Choco,2022-07-06,9744,157
Husein Augar,India,Raspberry Choco,2022-06-15,9954,154
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260,239
Camilla Castle,India,Drinking Coco,2022-08-08,469,163
Marney O'Breen,UK,Drinking Coco,2022-03-29,973,28
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647,76
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520,156
Van Tuxwell,India,Eclairs,2022-07-21,10500,106
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952,235
Kaine Padly,USA,85% Dark Bars,2022-06-22,483,259
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872,126
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756,85
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446,132
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594,91
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470,167
Curtice Advani,Canada,Eclairs,2022-05-06,721,203
Roddy Speechley,India,Drinking Coco,2022-05-31,4494,11
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674,295
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658,77
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127,319
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364,196
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818,102
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776,312
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099,55
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612,82
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710,260
Oby Sorrel,Canada,Eclairs,2022-05-19,6111,591
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702,24
Mallorie Waber,New Zealand,After Nines,2022-05-04,483,228
Roddy Speechley,Canada,White Choc,2022-04-05,5887,268
Andria Kimpton,India,After Nines,2022-01-17,952,68
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647,173
Dotty Strutley,Australia,White Choc,2022-07-05,6055,93
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757,338
Kaine Padly,Canada,Almond Choco,2022-08-12,6055,73
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721,251
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589,229
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781,91
Brien Boise,USA,Raspberry Choco,2022-01-12,672,194
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558,403
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337,12
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134,195
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491,75
Beverie Moffet,India,Almond Choco,2022-05-24,3066,96
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301,205
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410,323
Jehu Rudeforth,USA,White Choc,2022-06-07,6559,119
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574,217
Dotty Strutley,India,Eclairs,2022-07-28,2086,384
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075,344
